Logging Metrics:
Losses/Loss/BoxClassifierLoss/classification_loss : 2.793187141418457
Losses/Loss/BoxClassifierLoss/localization_loss : 0.025600560009479523
Losses/Loss/RPNLoss/localization_loss : 0.5350727438926697
Losses/Loss/RPNLoss/objectness_loss : 0.6931289434432983
PascalBoxes_PerformanceByCategory/AP@0.5IOU/bike : 0.0007197370840650048
PascalBoxes_PerformanceByCategory/AP@0.5IOU/motobike : 0.0001302375485146057
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_light : 4.232091901561901e-05
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_sign : 0.0
PascalBoxes_PerformanceByCategory/AP@0.5IOU/vehicle : 0.0011030665706551587
PascalBoxes_Precision/mAP@0.5IOU : 0.00039907242445007767
Logging Metrics:
Losses/Loss/BoxClassifierLoss/classification_loss : 0.04488188028335571
Losses/Loss/BoxClassifierLoss/localization_loss : 0.031348854303359985
Losses/Loss/RPNLoss/localization_loss : 0.13426966965198517
Losses/Loss/RPNLoss/objectness_loss : 0.11898750811815262
PascalBoxes_PerformanceByCategory/AP@0.5IOU/bike : 0.45779761536669117
PascalBoxes_PerformanceByCategory/AP@0.5IOU/motobike : 0.39582629878544984
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_light : 0.30891071375269274
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_sign : 0.05189743021919887
PascalBoxes_PerformanceByCategory/AP@0.5IOU/vehicle : 0.8916209846797203
PascalBoxes_Precision/mAP@0.5IOU : 0.42121060856075054
Logging Metrics:
Losses/Loss/BoxClassifierLoss/classification_loss : 0.059576764702796936
Losses/Loss/BoxClassifierLoss/localization_loss : 0.04482954740524292
Losses/Loss/RPNLoss/localization_loss : 0.08611389249563217
Losses/Loss/RPNLoss/objectness_loss : 0.09484123438596725
PascalBoxes_PerformanceByCategory/AP@0.5IOU/bike : 0.8875365839104774
PascalBoxes_PerformanceByCategory/AP@0.5IOU/motobike : 0.950351345083488
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_light : 0.7722106057436633
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_sign : 0.3071276438062633
PascalBoxes_PerformanceByCategory/AP@0.5IOU/vehicle : 0.9668106117055695
PascalBoxes_Precision/mAP@0.5IOU : 0.7768073580498922
Logging Metrics:
Losses/Loss/BoxClassifierLoss/classification_loss : 0.0705881416797638
Losses/Loss/BoxClassifierLoss/localization_loss : 0.048652686178684235
Losses/Loss/RPNLoss/localization_loss : 0.07003553211688995
Losses/Loss/RPNLoss/objectness_loss : 0.09055090695619583
PascalBoxes_PerformanceByCategory/AP@0.5IOU/bike : 0.882041782758056
PascalBoxes_PerformanceByCategory/AP@0.5IOU/motobike : 0.9827777777777778
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_light : 0.8356424729497383
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_sign : 0.5763753199387367
PascalBoxes_PerformanceByCategory/AP@0.5IOU/vehicle : 0.9674034134325034
PascalBoxes_Precision/mAP@0.5IOU : 0.8488481533713624
Logging Metrics:
Losses/Loss/BoxClassifierLoss/classification_loss : 0.06203760951757431
Losses/Loss/BoxClassifierLoss/localization_loss : 0.052365366369485855
Losses/Loss/RPNLoss/localization_loss : 0.06436731666326523
Losses/Loss/RPNLoss/objectness_loss : 0.09367116540670395
PascalBoxes_PerformanceByCategory/AP@0.5IOU/bike : 0.9017648240443465
PascalBoxes_PerformanceByCategory/AP@0.5IOU/motobike : 0.9638895383576234
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_light : 0.8847069762933124
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_sign : 0.6407758435418007
PascalBoxes_PerformanceByCategory/AP@0.5IOU/vehicle : 0.9628557802538283
PascalBoxes_Precision/mAP@0.5IOU : 0.8707985924981824
Logging Metrics:
Losses/Loss/BoxClassifierLoss/classification_loss : 0.056156497448682785
Losses/Loss/BoxClassifierLoss/localization_loss : 0.05350184068083763
Losses/Loss/RPNLoss/localization_loss : 0.06149235740303993
Losses/Loss/RPNLoss/objectness_loss : 0.09808720648288727
PascalBoxes_PerformanceByCategory/AP@0.5IOU/bike : 0.9012730339737711
PascalBoxes_PerformanceByCategory/AP@0.5IOU/motobike : 0.9820270270270269
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_light : 0.8986422125541436
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_sign : 0.6423951048951048
PascalBoxes_PerformanceByCategory/AP@0.5IOU/vehicle : 0.9673582477589536
PascalBoxes_Precision/mAP@0.5IOU : 0.8783391252417999
Logging Metrics:
Losses/Loss/BoxClassifierLoss/classification_loss : 0.05903290584683418
Losses/Loss/BoxClassifierLoss/localization_loss : 0.05081155151128769
Losses/Loss/RPNLoss/localization_loss : 0.0597909614443779
Losses/Loss/RPNLoss/objectness_loss : 0.09953656792640686
PascalBoxes_PerformanceByCategory/AP@0.5IOU/bike : 0.846097626269553
PascalBoxes_PerformanceByCategory/AP@0.5IOU/motobike : 0.9654304029304028
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_light : 0.9021629870037251
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_sign : 0.6921867162373491
PascalBoxes_PerformanceByCategory/AP@0.5IOU/vehicle : 0.9549321042750333
PascalBoxes_Precision/mAP@0.5IOU : 0.8721619673432126
Logging Metrics:
Losses/Loss/BoxClassifierLoss/classification_loss : 0.06127505749464035
Losses/Loss/BoxClassifierLoss/localization_loss : 0.05722963437438011
Losses/Loss/RPNLoss/localization_loss : 0.058675236999988556
Losses/Loss/RPNLoss/objectness_loss : 0.1022045910358429
PascalBoxes_PerformanceByCategory/AP@0.5IOU/bike : 0.8579486267504544
PascalBoxes_PerformanceByCategory/AP@0.5IOU/motobike : 0.9707670203359857
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_light : 0.9111106025647319
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_sign : 0.676068376068376
PascalBoxes_PerformanceByCategory/AP@0.5IOU/vehicle : 0.9512875318313816
PascalBoxes_Precision/mAP@0.5IOU : 0.8734364315101859
Logging Metrics:
Losses/Loss/BoxClassifierLoss/classification_loss : 0.06187043711543083
Losses/Loss/BoxClassifierLoss/localization_loss : 0.05273141711950302
Losses/Loss/RPNLoss/localization_loss : 0.05837773159146309
Losses/Loss/RPNLoss/objectness_loss : 0.0984899178147316
PascalBoxes_PerformanceByCategory/AP@0.5IOU/bike : 0.9049100478595764
PascalBoxes_PerformanceByCategory/AP@0.5IOU/motobike : 0.9675862332112332
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_light : 0.9098233877567746
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_sign : 0.7363292011019285
PascalBoxes_PerformanceByCategory/AP@0.5IOU/vehicle : 0.9652174077181179
PascalBoxes_Precision/mAP@0.5IOU : 0.896773255529526
Logging Metrics:
Losses/Loss/BoxClassifierLoss/classification_loss : 0.06230107322335243
Losses/Loss/BoxClassifierLoss/localization_loss : 0.0493769645690918
Losses/Loss/RPNLoss/localization_loss : 0.05736539512872696
Losses/Loss/RPNLoss/objectness_loss : 0.10068512707948685
PascalBoxes_PerformanceByCategory/AP@0.5IOU/bike : 0.858342320310123
PascalBoxes_PerformanceByCategory/AP@0.5IOU/motobike : 0.9771604938271604
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_light : 0.9140483497960815
PascalBoxes_PerformanceByCategory/AP@0.5IOU/traffic_sign : 0.7428721174004193
PascalBoxes_PerformanceByCategory/AP@0.5IOU/vehicle : 0.9587869903220436
PascalBoxes_Precision/mAP@0.5IOU : 0.8902420543311654
